Revenue,Profit Margin,returnOnEquity,Book Value per Share,Operating Cash Flow,Class
306734000.0,0.09,0.2149,3.504,32905000.0,1
3782300000.0,0.026,0.0855,8.331,381900000.0,1
402000000.0,-0.067164179104478,0.0779499999999999,10.419,-54000000.0,1
724337000.0,0.063,0.1369,11.26,66894000.0,0
498752000.0,0.021,0.0203,9.199,102055000.0,1
4790600000.0,0.0279999999999999,0.0768,10.82,374700000.0,0
530896000.0,0.111,0.2305,6.285,87864000.0,0
1352999000.0,0.053,0.0956,11.445,174297000.0,1
745447000.0,0.012,0.0201,16.486,11627000.0,0
1047419000.0,0.061,0.1908,12.179,57087000.0,0
1477600000.0,0.088,0.307,9.058,104500000.0,0
624692000.0,0.018,0.0471,10.006,10809000.0,0
3911790000.0,0.047,0.2569,5.6160000000000005,348244000.0,1
367237000.0,-0.104,0.0779499999999999,10.419,3715000.0,0
654988000.0,0.0559999999999999,0.1306,14.882,118524000.0,0
5016994000.0,0.045,0.1518,14.559,417915000.0,0
274447000.0,0.068,0.1692,3.554,34372000.0,1
2359994000.0,0.147,0.1862,7.07,264100000.0,1
652323000.0,-0.005,-0.0066,12.922,41446000.0,0
748538000.0,-0.069,0.0414,10.982,50605000.0,0
4239100000.0,0.022,0.0801,23.924,261800000.0,0
2190633000.0,0.065,0.1282,28.436,-211248000.0,0
1193769000.0,0.078,0.1586,16.47,-210262000.0,1
1468708000.0,0.077,0.1273,19.976,178090000.0,0
542620000.0,-0.055,-0.1461,2.734,54687000.0,1
445474000.0,0.1,0.0519,18.566,120625000.0,0
255375000.0,-0.0819999999999999,-0.1294,4.297,-3957000.0,0
1213046000.0,0.05,0.111,18.252,100147000.0,0
1190782000.0,0.052,0.1577,16.515,107020000.0,1
1146102000.0,0.0279999999999999,0.0905,25.27,123581000.0,0
1118700000.0,0.026,0.0779499999999999,10.419,145600000.0,1
884785000.0,0.03,0.0848,15.902,38620000.0,0
751476000.0,0.12,0.1948,12.817,59640000.0,0
5390326000.0,0.026,0.2061,25.769,30967000.0,1
2683677000.0,0.049,0.2499,22.195,177625000.0,0
1562876000.0,0.05,0.0995,24.793000000000003,114919000.0,0
235470000.0,0.127,0.0566,32.291,132532000.0,0
714514000.0,0.161,0.0717,20.799,342555000.0,0
1000133000.0,0.044,0.1477,5.496,-12515000.0,0
831432000.0,0.0579999999999999,0.1166,11.75,93943000.0,1
118530000.0,0.018,0.1681,0.348,13584000.0,0
735717000.0,0.042,0.2985,4.295,46318000.0,1
1463767000.0,0.023,0.1232,10.821,-160469000.0,0
460563000.0,0.032,0.1074,7.859,39213000.0,0
1749688000.0,0.046,0.0659,34.179,160748000.0,0
261585000.0,0.04,0.0823,4.189,26326000.0,1
1892437000.0,-0.073,-0.1939999999999999,12.640999999999998,116755000.0,0
2961259000.0,-0.003,0.0279,-0.96,348423000.0,0
2597809000.0,0.074,0.1737,17.047,316329000.0,1
920033000.0,0.059,0.1389,13.367,92959000.0,0
362392000.0,0.055,0.0548,18.995,-129671000.0,1
245101000.0,0.047,0.0972,7.194,29135000.0,1
622204000.0,0.001,0.0023,13.439,35368000.0,0
1667200000.0,0.066,0.1881,9.229,179600000.0,0
93593316.1124,0.0438,0.1405,5.3103,40450920.2454,1
812200000.0,0.057,0.0663,13.487,141600000.0,1
121432000.0,0.093,0.1019,11.236,20435000.0,1
611143000.0,0.059,0.1813,7.591,64106000.0,0
570255000.0,0.089,0.1098,18.165,54516000.0,0
81294000.0,0.071,0.1607,3.647,3639000.0,1
373892000.0,-0.046,-0.0505,28.649,45262000.0,0
326979000.0,0.013,0.0279,5.343,26554000.0,0
403741000.0,0.0279999999999999,0.0816,4.715,49027000.0,0
346097000.0,0.048,0.1709,2.755,43348000.0,1
174619000.0,0.0,-0.0008,4.629,23194000.0,0
320459000.0,0.059,0.073,27.395,27830000.0,1
1747922000.0,0.02,0.0827,11.390999999999998,50736000.0,0
285285000.0,0.046,0.1638,6.352,25536000.0,0
187767000.0,0.076,0.0802,10.574000000000002,31245000.0,1
810060000.0,0.027,0.1488,6.903,-79015000.0,1
145426000.0,0.016,0.0164,7.117999999999999,10958000.0,1
849879000.0,0.053,0.1741,15.815,52734000.0,1
175204000.0,0.055,0.1265,10.142,10827000.0,0
255242000.0,0.099,0.1984,5.449,28343000.0,1
586010000.0,0.003,0.0082,13.755999999999998,4589000.0,0
79752000.0,0.104,0.1897,9.864,2876000.0,0
447939000.0,0.0559999999999999,0.0766,12.062,66440000.0,1
980392000.0,0.044,0.115,16.339000000000002,46987000.0,1
286242169.0,0.034,0.0712,18.337,12980048.0,0
2104200000.0,-0.018,-0.1043,9.693,-100000.0,0
2624972000.0,0.035,0.1011,38.441,139999000.0,0
41837000.0,-0.026,-0.0041,8.613999999999999,-3155000.0,0
855735000.0,0.003,-0.0185,-6.763,36844000.0,1
1263571000.0,0.02,0.0967,6.141,40066000.0,0
438543000.0,0.034,0.0899,23.058000000000003,16237000.0,1
36331000.0,0.186,0.2033,3.384,3487000.0,0
623649000.0,-0.0139999999999999,-0.0592,4.651,38695000.0,0
228293000.0,0.035,0.0588,12.573,5696000.0,1
266536000.0,0.021,0.0268,8.051,41925000.0,0
226124000.0,0.07,0.0881,9.933,36565000.0,1
